rank,page,ad_type,ad_rank,asin,title,url,price_current,rating_stars,rating_count,is_prime,scraped_at
1,1,Organic,1,B0BB29GC7W,"GLAMBURG 100% Cotton 2 Pack Oversized Bath Towel Set 28x55 Inches, Ultra Soft Highly Absorbant Compact Quickdry & Lightweight Large Bath Towels, Ideal for Gym Travel Camp Pool - Black",N/A,CNY 94.11,4.1,9116,False,2026-04-14T09:41:53.328551
2,1,Organic,2,B08LBN2JPS,"Tens Towels Pack of 4 Extra Large Bath Towels 30 x 60 Inches, 100% Cotton, Larger & Lighter Weight, Quicker to Dry, Super Soft and Absorbent, Perfect for Bathroom, Dark Grey",N/A,CNY 245.78,4.3,22929,False,2026-04-14T09:41:53.335603
3,1,Organic,3,B0FHVWM2B1,"HOMEXCEL Grey Bath Towels 2 Pack, Microfiber Bathroom Towel, Super Soft Highly Absorbent Bath Towel Set, Quick Drying Towels for Sport, Yoga, SPA, Fitness",N/A,CNY 81.88,4.2,1979,False,2026-04-14T09:41:53.339358
4,1,Organic,4,B09ZTS9ZC9,"Orighty Bath Towels Pack of 2(27'' x 54'') - Soft Feel, Highly Absorbent, Quick Drying Microfiber for Body, Sport, Yoga, SPA, Fitness - Grey",N/A,CNY 92.13,4.3,6530,False,2026-04-14T09:41:53.344095
5,1,Organic,5,B0B8CZM73P,"Towel and Linen Mart 100% Cotton 6 Pack Bath Towel Set, Quick Dry, Super Absorbent, Light Weight, Soft, (27 x 54 Pack of 6) Beige, White, Grey, Sky Blue, SAGE Green, Navy",N/A,CNY 167.25,4.1,14810,False,2026-04-14T09:41:53.349144
6,1,Organic,6,B07PBXXNCY,"Clean Skin Club Clean Towels XL®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 1 Pack, 50 Ct",N/A,CNY 122.58,4.8,42917,False,2026-04-14T09:41:53.352656
7,1,Organic,7,B07MHJFRBJ,"Bounty Quick Size Paper Towels, White, 8 Family Rolls",N/A,,4.8,230901,False,2026-04-14T09:41:53.354685
8,1,Organic,8,B07B6CDT7T,"Amazon Basics 2-Piece Quick-Dry Oversize Bath Towel, 100% Cotton, 54"" x 30"", Lake Blue",N/A,CNY 136.58,4.1,9788,False,2026-04-14T09:41:53.361890
9,1,Organic,9,B07B6GC2R5,"Amazon Basics 2-Piece Quick-Dry Oversize Bath Towel, 100% Cotton, 54"" x 30"", White",N/A,CNY 126.34,4.1,9788,False,2026-04-14T09:41:53.370491
10,1,Organic,10,B09BWFX1L6,"Amazon Basics 2-Ply Flex-Sheets Paper Towels, 12 Basics Rolls = 40 Regular Rolls, Everyday Value with 150 Sheets per Roll, Packaging May Vary",N/A,CNY 156.12,4.1,69022,False,2026-04-14T09:41:53.376571
11,1,Organic,11,B0DZ66JLZ7,"REDKISS Pink Towel Set, 6 Piece Premium Soft Bath Towel Set, Highly Absorbent Luxury 6-Pack with 2 Bath Towels, 2 Hand Towels, 2 Washcloths for Bathroom, Gym, Hotel, and Spa Daily Use",N/A,CNY 204.81,4.1,542,False,2026-04-14T09:41:53.381584
12,1,Organic,12,B0DF8RSVJK,"Scott Paper Towels, Choose-A-Sheet, 6 Double Rolls = 12 Regular Rolls (108 Sheets Per Roll)",N/A,CNY 46.71,4.6,19795,False,2026-04-14T09:41:53.384095
13,1,Organic,13,B0DHTWW4Y6,"Microfiber Bath Towels 2 Pack (22'' x 48'') - Lightweight Quick Dry Microfiber Fingertip Hand Towels, Soft Absorbent Gym Towels for Yoga, Salon, Camping, Hotel, Bathroom, Spa, Travel & Dog",N/A,CNY 57.98,3.6,307,False,2026-04-14T09:41:53.386663
14,1,Organic,14,B0CF28SKHW,"3 Pack Hand Towels for Bathroom, Cotton Soft Absorbent Decorative Hand Towel Set for Face Spa Bath Gym Kitchen, 13x30 Inch",N/A,CNY 68.22,4.0,760,False,2026-04-14T09:41:53.389205
15,1,Organic,15,B00Q7JFDKK,"Amazon Basics 6-Piece Fade-Resistant 100% Cotton Towel Set, Soft and Absorbent, 2 Bath Towels, 2 Hand Towels, 2 Washcloths, Navy Blue",N/A,CNY 147.44,4.4,16820,False,2026-04-14T09:41:53.392779
16,1,Organic,16,B081FJHMYF,"KAHAF Collection 6-Pack Bath Towels - Lightweight - Extra Absorbent - 100% Cotton - Shower towels (Multi, 27 inchesx54 inches)",N/A,CNY 184.32,4.0,23640,False,2026-04-14T09:41:53.395284
17,1,Organic,17,B07FBZVWB4,"KAHAF COLLECTION 6 Pack Bath Towels Set (27 x 54 Inches) 100% Ring Spun Cotton, Lightweight, Quick Dry, Highly Absorbent Towels Multicolor, (27x54) Inches",N/A,CNY 170.39,3.6,9018,False,2026-04-14T09:41:53.398825
18,1,Organic,18,B0BL2BF31F,"HOMEXCEL Professional Large Microfiber Car Drying Towels 2 Pack, Lint Free, Scratch Free, Highly Absorbent Drying Towel for Cars, SUVs, RVs, Trucks, and Boats,31"" x 24"",Grey",N/A,CNY 61.39,4.5,2674,False,2026-04-14T09:41:53.401832
19,1,Organic,19,B093CJRVX8,"Modern Threads Floral Trail 6-Piece 100% Cotton Towel Set – Reversible Yarn Dyed Jacquard - Includes 2 Bath Towels, 2 Hand Towels, 2 Washcloths – Absorbent, Quick Dry, Soft & Durable – Navy",N/A,,4.4,26866,False,2026-04-14T09:41:53.406843
20,1,Organic,20,B07Y22QK1S,"GLAMBURG Ultra Soft 8-Piece Towel Set - 100% Pure Ringspun Cotton, Contains 2 Oversized Bath Towels 27x54, 2 Hand Towels 16x28, 4 Wash Cloths 13x13 - Ideal for Everyday use, Hotel & Spa - Black",N/A,CNY 177.49,4.0,42548,False,2026-04-14T09:41:53.414402
21,1,Organic,21,B09FZT5BYV,"LANE LINEN 18-Pack Premium Towels for Bathroom – 100% Cotton Towel Set, Zero Twist, 6 Bath, 6 Hand & 6 Washcloths,Gentle on Body, Highly Absorbent, Remains Soft After Wash, Hotel & Spa Quality – Grey",N/A,CNY 443.83,4.2,11340,False,2026-04-14T09:41:53.418416
22,1,Organic,22,B0851PPGNG,"White Classic Luxury Bath Sheets Towels for Adults Extra Large 35x70 Inch - 700 GSM Turkish Cotton, Highly Absorbent | Hotel Collection | 2 Pack",N/A,CNY 259.44,4.5,9343,False,2026-04-14T09:41:53.423876
23,1,Organic,23,B01H65F6A0,"American Soft Linen Luxury 6 Piece Towel Set, 2 Bath Towels 2 Hand Towel 2 Washcloths, 600 GSM 100% Cotton Turkish Towels for Bathroom, White Towel Sets",N/A,CNY 273.10,4.4,77878,False,2026-04-14T09:41:53.431086
24,1,Organic,24,B0F2SGPR4X,"Jacquotha Black and White Striped Hand Towels for Bathroom, Vintage Kitchen Decor, Guest Use, Adults & Kids, Natural Cotton, 14” x 29”",N/A,CNY 93.22,4.5,262,False,2026-04-14T09:41:53.432590
25,1,Organic,25,B01056KA58,"White Classic Luxury Bath Towels Set of 4 Large - 700 GSM Turkish Cotton Ultra Soft Bath Towels 27x54 | Highly Absorbent and Quick Dry | Hotel Towels for Bathroom Luxury, Plush Shower Towels, White",N/A,CNY 307.25,4.4,12840,False,2026-04-14T09:41:53.438672
26,1,Organic,26,B0103XVVME,Luxury White Hand Towels - Soft 100% Turkish Cotton | Highly Absorbent Hotel spa Bathroom Towel Collection | 16x30 Inch | Set of 6,N/A,CNY 157.00,4.5,24205,False,2026-04-14T09:41:53.445353
27,1,Organic,27,B07B9LMRPH,"Chakir Turkish Linens | Hotel & Spa Quality 100% Cotton Premium Turkish Towels | Soft & Absorbent (4-Piece Bath Towels, Gray)",N/A,CNY 233.49,4.3,8487,False,2026-04-14T09:41:53.451409
28,1,Organic,28,B07CFRTNMC,"Amazon Basics Soft and Thick Cotton Hand Towels for Gym, 16 x 26 in, Gray, 12-Pack",N/A,CNY 136.52,4.7,18928,False,2026-04-14T09:41:53.455578
29,1,Organic,29,B09L3JTDZ9,"QUBA LINEN 100% Cotton Bath Towels-27x54inch - 6 Pack Shower Towels - Light Weight, Ultra Absorbent Towels for Bathroom (Multi Color)",N/A,CNY 166.29,4.2,8372,False,2026-04-14T09:41:53.458082
30,1,Organic,30,B07G9LQFJ8,"Luxury White Bath Towel Set of 8 Pieces - 100% Turkish Cotton 700 GSM Highly Absorbent Towels for Bathroom, 2 Bath Towels, 2 Hand Towels, 4 Washcloths",N/A,CNY 273.10,4.5,14257,False,2026-04-14T09:41:53.464220
31,1,Organic,31,B010S5VXKC,"Amazon Basics Fast Drying Cotton Washcloths for Bathroom, Machine Washable, Soft and Highly Absorbent, 12 x 12 in, White, 24-Pack",N/A,CNY 129.62,4.6,74347,False,2026-04-14T09:41:53.470271
32,1,Organic,32,B079VP6DH5,"Bounty Paper Towels Quick Size, White, 16 Family Rolls = 40 Regular Rolls",N/A,,4.8,230901,False,2026-04-14T09:41:53.472272
33,1,Organic,33,B0BL6JGQM4,"POLYTE 430 GSM Microfiber Oversize Quick Dry Lint Free Bath Towel, 60 x 30 in, 4 Pack (Waffle Weave)",N/A,CNY 286.08,4.4,4032,False,2026-04-14T09:41:53.476013
34,1,Organic,34,B09ZY2D42V,"Infinitee Xclusives Luxury 100% Ring-Spun Cotton White Bath Towels Set of 4 (27x54 inches) – Soft, Absorbent & Quick-Drying Towels for Bathroom, Gym, Spa & Hotel Use (Brilliant White, Bath Towels)",N/A,CNY 252.61,4.3,2329,False,2026-04-14T09:41:53.483404
35,1,Organic,35,B013SX3T08,"Tork Multifold Hand Towel, Natural, 100% recycled, FSC certified, Compatible with H2 Dispensers, 16 packs x 250 sheets (MK520A)",N/A,CNY 235.61,4.5,6268,False,2026-04-14T09:41:53.487160
36,1,Organic,36,B0BMK73TPP,"KAHAF COLLECTION 100% Cotton Bath Towels, 24x48 Pack of 6 Towels, Quick Dry, Highly Absorbent, Soft Feel Towel, Gym, Spa, Bathroom, Shower, Pool, Luxury Soft Towels (Grey, 24x48-6 Pack)",N/A,CNY 197.98,3.4,2714,False,2026-04-14T09:41:53.491893
37,1,Organic,37,B08KLXWB1B,"Belizzi Home Ultra Soft 6 Pack Cotton Towel Set, Contains 2 Bath Towels 28x55 inch, 2 Hand Towels 16x24 inch & 2 Wash Coths 12x12 inch, Ideal for Everyday use, Compact & Lightweight - Black",N/A,CNY 170.66,4.0,18311,False,2026-04-14T09:41:53.496081
38,1,Organic,38,B0DQYPYVB6,"Bounty Select-A-Size Paper Towels, White, 8 Triple Rolls = 24 Regular Roll",N/A,,4.8,16387,False,2026-04-14T09:41:53.498166
39,1,Organic,39,B01MSROAID,"JML Microfiber Bath Towel 2 Pack(30"" x 60""), Oversized Thick Towels, Soft, Super Absorbent and Fast Drying, No Fading Multipurpose Use for Sports, Travel, Fitness, Yoga, 30 in 60 in, Grey Count",N/A,CNY 136.52,4.5,17404,False,2026-04-14T09:41:53.502093
40,1,Organic,40,B0DWSZ4SVY,"Utopia Towels 6 Pack Bath Towel Set (27 x 54 Inches), 500 GSM 100% Ring Spun Cotton Medium Lightweight and Highly Absorbent Quick Drying, Premium Towels for Hotel, Spa and Bathroom (White)",N/A,,4.3,28564,False,2026-04-14T09:41:53.509689
41,1,Organic,41,B008CGX4AW,"Scott Shop Original Blue Towels (75190), 9""x12"" Cloth-like Paper Towel (8 Boxes of 200 Sheets, 1,600 Sheet Total)",N/A,CNY 736.74,4.8,719,False,2026-04-14T09:41:53.511719
42,1,Organic,42,B0B9CGJDBV,"ExoForma Mega Car Drying Towel - Holds Up to 9 lbs, No Streaks, Scratches, or Water Spots | 1200 GSM Microfiber Double Twist Pile & Edgeless Design, 1 Quick & Effortless Dry - 24” x 36”",N/A,CNY 167.66,4.7,2436,False,2026-04-14T09:41:53.514365
43,1,Organic,43,B09P9L5WHB,"QUBA LINEN 100% Cotton Beach Towels, Cabana Stripe Beach Towel, Large Pool Towels, Highly Absorbent, Light Weight, Soft and Quick Dry Swim Towels, for Parties, Guests (Pack of 6)",N/A,CNY 252.61,3.8,1107,False,2026-04-14T09:41:53.517467
44,1,Organic,44,B00M6XTBJK,"Tork Multifold Hand Towel White H2, Universal, 100% Recycled Fibers, 16 x 250 Towels, MB540A",N/A,CNY 286.42,4.2,3450,False,2026-04-14T09:41:53.519967
45,1,Organic,45,B083KPZR9C,"The Rag Company Gauntlet Car Drying Towel - 70/30 Korean Microfiber, Dries Faster Without Scratching, 900gsm, 15x24 inches, Ice Grey/Grey, 2-Pack",N/A,CNY 197.71,4.7,5938,False,2026-04-14T09:41:53.522967
46,1,Organic,46,B0812B1FMQ,"Clean Skin Club Clean Towels XL®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 50 ct per pack, 2 Packs, 100 Ct Total",N/A,CNY 245.17,4.8,42917,False,2026-04-14T09:41:53.524471
47,1,Organic,47,B0BF4CYDTH,"POLYTE 430 GSM Microfiber Quick Dry Lint Free Oversize Bath Towel Set, 6 Piece (Waffle Weave)",N/A,CNY 245.78,4.4,4747,False,2026-04-14T09:41:53.528513
48,1,Organic,48,B07M95BM17,"100% Cotton Terry Towels Cleaning Cloths Pack of 50 (12x12 Inches) White Cotton Terry Cloth Bar Rags White Bar Towels, Multipurpose High Absorbent Terry Towels for Cleaning Auto Detailing or Painters",N/A,CNY 174.21,4.4,1404,False,2026-04-14T09:41:53.532632
